date;ic_br;cambio
01/01/1998;39,19;1,1199
01/02/1998;38,98;1,1271
01/03/1998;38,16;1,1337
01/04/1998;38,1;1,1412
01/05/1998;38,21;1,1481
01/06/1998;36,67;1,1546
01/07/1998;36,11;1,1615
01/08/1998;35,77;1,1717
01/09/1998;35,21;1,1809
01/10/1998;35,7;1,1884
01/11/1998;35,75;1,1937
01/12/1998;34,84;1,2054
01/01/1999;43,05;1,5019
01/02/1999;53,12;1,9137
01/03/1999;51,53;1,8968
01/04/1999;45,5;1,6941
01/05/1999;45,16;1,6835
01/06/1999;47,38;1,7654
01/07/1999;46,72;1,8003
01/08/1999;50,59;1,8807
01/09/1999;52,19;1,8981
01/10/1999;54,73;1,9695
01/11/1999;54,35;1,9299
01/12/1999;51,87;1,8428
01/01/2000;51,41;1,8037
01/02/2000;50,22;1,7753
01/03/2000;49,51;1,742
01/04/2000;50,31;1,7682
01/05/2000;53,18;1,8279
01/06/2000;53,55;1,8083
01/07/2000;53,56;1,7978
01/08/2000;53,82;1,8092
01/09/2000;55,32;1,8392
01/10/2000;57,1;1,8796
01/11/2000;59,02;1,948
01/12/2000;60,89;1,9633
01/01/2001;60,81;1,9545
01/02/2001;61,36;2,0019
01/03/2001;61,26;2,089
01/04/2001;63,21;2,1925
01/05/2001;66,07;2,2972
01/06/2001;68,09;2,3758
01/07/2001;69,56;2,466
01/08/2001;69,23;2,5106
01/09/2001;69,58;2,6717
01/10/2001;67,82;2,7402
01/11/2001;64,33;2,5431
01/12/2001;59,7;2,3627
01/01/2002;61,05;2,3779
01/02/2002;60,73;2,4196
01/03/2002;58,55;2,3466
01/04/2002;56,23;2,3204
01/05/2002;60,35;2,4804
01/06/2002;66,65;2,714
01/07/2002;75,86;2,9346
01/08/2002;80,62;3,1101
01/09/2002;89,93;3,342
01/10/2002;103,93;3,8059
01/11/2002;101,27;3,5764
01/12/2002;104,56;3,6259
01/01/2003;101,45;3,4384
01/02/2003;109,05;3,5908
01/03/2003;100,18;3,4469
01/04/2003;90,84;3,1187
01/05/2003;87,33;2,9557
01/06/2003;83,96;2,8832
01/07/2003;85,02;2,8798
01/08/2003;90,1;3,0025
01/09/2003;89,66;2,9228
01/10/2003;91,32;2,8615
01/11/2003;94,54;2,9138
01/12/2003;97,29;2,9253
01/01/2004;93,51;2,8518
01/02/2004;97,12;2,9303
01/03/2004;101,58;2,9055
01/04/2004;103,32;2,906
01/05/2004;112,08;3,1004
01/06/2004;112,58;3,1291
01/07/2004;107,88;3,0368
01/08/2004;106,13;3,0029
01/09/2004;104,61;2,8911
01/10/2004;104,91;2,8529
01/11/2004;103,13;2,786
01/12/2004;101,43;2,7182
01/01/2005;101,11;2,693
01/02/2005;98,34;2,5978
01/03/2005;106,82;2,7047
01/04/2005;99,86;2,5792
01/05/2005;93,24;2,4528
01/06/2005;90,22;2,4135
01/07/2005;88,68;2,3735
01/08/2005;90,46;2,3606
01/09/2005;90,96;2,2944
01/10/2005;93,09;2,2565
01/11/2005;91,8;2,2108
01/12/2005;100;2,2855
01/01/2006;101,81;2,2739
01/02/2006;97,57;2,1619
01/03/2006;93,81;2,152
01/04/2006;95,29;2,1293
01/05/2006;99,12;2,1781
01/06/2006;99,63;2,2483
01/07/2006;99,75;2,1893
01/08/2006;97,05;2,1559
01/09/2006;94,66;2,1687
01/10/2006;95,76;2,1483
01/11/2006;99,88;2,1579
01/12/2006;100,81;2,1499
01/01/2007;99,11;2,1385
01/02/2007;98,79;2,0963
01/03/2007;98,75;2,0887
01/04/2007;95,87;2,032
01/05/2007;93,91;1,9816
01/06/2007;92,03;1,9319
01/07/2007;91,58;1,8828
01/08/2007;93,84;1,966
01/09/2007;94,42;1,8996
01/10/2007;92,96;1,801
01/11/2007;92,79;1,7699
01/12/2007;93,82;1,786
01/01/2008;98;1,7743
01/02/2008;103,45;1,7277
01/03/2008;105,36;1,7076
01/04/2008;105,34;1,6889
01/05/2008;106,03;1,6605
01/06/2008;107,75;1,6189
01/07/2008;104,94;1,5914
01/08/2008;97,28;1,6123
01/09/2008;102,22;1,7996
01/10/2008;102,97;2,1729
01/11/2008;98,88;2,2663
01/12/2008;97,98;2,3944
01/01/2009;96,97;2,3074
01/02/2009;93,49;2,3127
01/03/2009;91,32;2,3138
01/04/2009;90,71;2,2059
01/05/2009;90,81;2,0609
01/06/2009;87,34;1,9576
01/07/2009;85,87;1,9328
01/08/2009;86,52;1,8452
01/09/2009;85,82;1,8198
01/10/2009;86,38;1,7384
01/11/2009;87,68;1,7262
01/12/2009;91,77;1,7503
01/01/2010;96,36;1,7798
01/02/2010;96,7;1,8416
01/03/2010;91,3;1,7858
01/04/2010;90,12;1,7566
01/05/2010;89,37;1,8132
01/06/2010;87,96;1,8065
01/07/2010;89,22;1,7696
01/08/2010;93,76;1,7596
01/09/2010;97,74;1,7187
01/10/2010;102,18;1,6835
01/11/2010;109,37;1,7133
01/12/2010;114,05;1,6934
01/01/2011;119,03;1,6749
01/02/2011;125,67;1,668
01/03/2011;124,77;1,6591
01/04/2011;120,59;1,5864
01/05/2011;113,74;1,6135
01/06/2011;111,36;1,587
01/07/2011;110,25;1,5639
01/08/2011;111,02;1,597
01/09/2011;119,35;1,7498
01/10/2011;115,74;1,7726
01/11/2011;114,98;1,7905
01/12/2011;113,62;1,8369
01/01/2012;114,48;1,7897
01/02/2012;111,7;1,7184
01/03/2012;114,1;1,7953
01/04/2012;113,8;1,8548
01/05/2012;115,6;1,986
01/06/2012;115,24;2,0492
01/07/2012;123,8;2,0287
01/08/2012;124,72;2,0294
01/09/2012;126,94;2,0281
01/10/2012;125,61;2,0298
01/11/2012;126,94;2,0678
01/12/2012;128,75;2,0778
01/01/2013;126,11;2,0311
01/02/2013;122;1,9733
01/03/2013;120,11;1,9828
01/04/2013;118,01;2,0022
01/05/2013;118,19;2,0348
01/06/2013;124,03;2,173
01/07/2013;126,62;2,2522
01/08/2013;131,71;2,3422
01/09/2013;128,89;2,2705
01/10/2013;125,28;2,1886
01/11/2013;129,23;2,2954
01/12/2013;132,85;2,3455
01/01/2014;135,37;2,3822
01/02/2014;140,49;2,3837
01/03/2014;140,66;2,3261
01/04/2014;136,79;2,2328
01/05/2014;134,28;2,2209
01/06/2014;133,55;2,2355
01/07/2014;131,3;2,2246
01/08/2014;129,87;2,268
01/09/2014;132,39;2,3329
01/10/2014;139,28;2,4483
01/11/2014;144,97;2,5484
01/12/2014;144,54;2,6394
01/01/2015;137,64;2,6342
01/02/2015;143,96;2,8165
01/03/2015;155,69;3,1395
01/04/2015;151,96;3,0432
01/05/2015;153,7;3,0617
01/06/2015;155,07;3,1117
01/07/2015;160,33;3,2231
01/08/2015;168;3,5143
01/09/2015;183,62;3,9065
01/10/2015;185,03;3,8801
01/11/2015;176,15;3,7765
01/12/2015;178,15;3,8711
01/01/2016;183,39;4,0524
01/02/2016;180,54;3,9737
01/03/2016;170,41;3,7039
01/04/2016;164,72;3,5658
01/05/2016;166,25;3,5393
01/06/2016;166,98;3,4245
01/07/2016;158,77;3,2756
01/08/2016;155,61;3,2097
01/09/2016;158,33;3,2564
01/10/2016;158,07;3,1858
01/11/2016;166,76;3,342
01/12/2016;170,31;3,3523
01/01/2017;165,23;3,1966
01/02/2017;159,6;3,1042
01/03/2017;156,07;3,1279
01/04/2017;156,15;3,1362
01/05/2017;160,04;3,2095
01/06/2017;159,74;3,2954
01/07/2017;157,57;3,2061
01/08/2017;154,23;3,1509
01/09/2017;157,54;3,1348
01/10/2017;162,52;3,1912
01/11/2017;171,15;3,2594
01/12/2017;169,65;3,2919
01/01/2018;171,2;3,2106
01/02/2018;171,78;3,2415
01/03/2018;169,09;3,2792
01/04/2018;175,83;3,4075
01/05/2018;191,92;3,6361
01/06/2018;197,93;3,7732
01/07/2018;197,04;3,8288
01/08/2018;198,68;3,9298
01/09/2018;210,59;4,1165
01/10/2018;197,73;3,7584
01/11/2018;192,92;3,7867
01/12/2018;193,73;3,8851
01/01/2019;186,91;3,7417
01/02/2019;187,38;3,7236
01/03/2019;192,19;3,8465
01/04/2019;195,13;3,8962
01/05/2019;191,27;4,0015
01/06/2019;181,86;3,8588
01/07/2019;180,49;3,7793
01/08/2019;180,99;4,02
